2023-01-06 15:39:29,951 INFO    MainThread:22780 [wandb_setup.py:_flush():68] Configure stats pid to 22780
2023-01-06 15:39:29,955 INFO    MainThread:22780 [wandb_setup.py:_flush():68] Loading settings from C:\Users\thorl\.config\wandb\settings
2023-01-06 15:39:29,955 INFO    MainThread:22780 [wandb_setup.py:_flush():68] Loading settings from C:\Users\thorl\Documents\DTU\JAN23\dtu_MLops_answers\wandb\settings
2023-01-06 15:39:29,955 INFO    MainThread:22780 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-06 15:39:29,955 INFO    MainThread:22780 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'S4\\M13\\main.py', 'program': 'c:\\Users\\thorl\\Documents\\DTU\\JAN23\\dtu_MLops_answers\\S4\\M13\\main.py'}
2023-01-06 15:39:29,963 INFO    MainThread:22780 [wandb_init.py:_log_setup():476] Logging user logs to C:\Users\thorl\Documents\DTU\JAN23\dtu_MLops_answers\wandb\run-20230106_153929-1dvbb8bq\logs\debug.log
2023-01-06 15:39:29,963 INFO    MainThread:22780 [wandb_init.py:_log_setup():477] Logging internal logs to C:\Users\thorl\Documents\DTU\JAN23\dtu_MLops_answers\wandb\run-20230106_153929-1dvbb8bq\logs\debug-internal.log
2023-01-06 15:39:29,963 INFO    MainThread:22780 [wandb_init.py:init():516] calling init triggers
2023-01-06 15:39:29,963 INFO    MainThread:22780 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'batch_size': 64, 'num_workers': 2, 'pin_memory': False, 'precision': 32, 'optimizer': 'Adadelta'}
2023-01-06 15:39:29,963 INFO    MainThread:22780 [wandb_init.py:init():569] starting backend
2023-01-06 15:39:29,963 INFO    MainThread:22780 [wandb_init.py:init():573] setting up manager
2023-01-06 15:39:29,971 INFO    MainThread:22780 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn, using: spawn
2023-01-06 15:39:29,979 INFO    MainThread:22780 [wandb_init.py:init():580] backend started and connected
2023-01-06 15:39:29,983 INFO    MainThread:22780 [wandb_init.py:init():658] updated telemetry
2023-01-06 15:39:30,287 INFO    MainThread:22780 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-01-06 15:39:31,387 INFO    MainThread:22780 [wandb_run.py:_on_init():2006] communicating current version
2023-01-06 15:39:31,718 INFO    MainThread:22780 [wandb_run.py:_on_init():2010] got version response 
2023-01-06 15:39:31,718 INFO    MainThread:22780 [wandb_init.py:init():728] starting run threads in backend
2023-01-06 15:39:32,265 INFO    MainThread:22780 [wandb_run.py:_console_start():1986] atexit reg
2023-01-06 15:39:32,265 INFO    MainThread:22780 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2023-01-06 15:39:32,265 INFO    MainThread:22780 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-01-06 15:39:32,265 INFO    MainThread:22780 [wandb_run.py:_redirect():1931] Redirects installed.
2023-01-06 15:39:32,265 INFO    MainThread:22780 [wandb_init.py:init():765] run started, returning control to user process
2023-01-06 15:39:32,265 INFO    MainThread:22780 [wandb_watch.py:watch():51] Watching
2023-01-06 15:39:33,316 INFO    MainThread:22780 [pyagent.py:run():314] Starting sweep agent: entity=None, project=None, count=4
2023-01-06 15:39:45,736 WARNING MsgRouterThr:22780 [router.py:message_loop():77] message_loop has been closed
